source,name,num_samples_original,num_features_original,num_samples_after_preprocessing,num_features_after_preprocessing,num_classes,class_distribution,feature_types,linear_models_pa_classifier_f1_macro_mean,linear_models_pa_classifier_f1_macro_std,linear_models_pa_classifier_precision_macro_mean,linear_models_pa_classifier_precision_macro_std,linear_models_pa_classifier_recall_macro_mean,linear_models_pa_classifier_recall_macro_std,linear_models_ridge_classifier_f1_macro_mean,linear_models_ridge_classifier_f1_macro_std,linear_models_ridge_classifier_precision_macro_mean,linear_models_ridge_classifier_precision_macro_std,linear_models_ridge_classifier_recall_macro_mean,linear_models_ridge_classifier_recall_macro_std,nonlinear_models_gnb_classifier_f1_macro_mean,nonlinear_models_gnb_classifier_f1_macro_std,nonlinear_models_gnb_classifier_precision_macro_mean,nonlinear_models_gnb_classifier_precision_macro_std,nonlinear_models_gnb_classifier_recall_macro_mean,nonlinear_models_gnb_classifier_recall_macro_std,nonlinear_models_rbf_svc_f1_macro_mean,nonlinear_models_rbf_svc_f1_macro_std,nonlinear_models_rbf_svc_precision_macro_mean,nonlinear_models_rbf_svc_precision_macro_std,nonlinear_models_rbf_svc_recall_macro_mean,nonlinear_models_rbf_svc_recall_macro_std,tree_models_catboost_f1_macro_mean,tree_models_catboost_f1_macro_std,tree_models_catboost_precision_macro_mean,tree_models_catboost_precision_macro_std,tree_models_catboost_recall_macro_mean,tree_models_catboost_recall_macro_std,tree_models_extra_trees_f1_macro_mean,tree_models_extra_trees_f1_macro_std,tree_models_extra_trees_precision_macro_mean,tree_models_extra_trees_precision_macro_std,tree_models_extra_trees_recall_macro_mean,tree_models_extra_trees_recall_macro_std,variance_explained_5_components,avg_feature_correlation,max_correlation,intrinsic_dimensionality,pca_variance,outlier_fraction
kaggle,Stroke Prediction Dataset,"(5110,)","(11,)",5110,12,2,"{0: 4861, 1: 249}","{'numeric': 4, 'categorical': 3, 'binary': 5}",0.6266317655180054,0.0725620674578559,0.6462811087518502,0.044748439450656825,0.6751717098428951,0.050976633748216774,0.7260928581007142,0.013509772418589878,0.7219618046323698,0.010579977385482532,0.7843714386368885,0.0110941299078504,0.426815347963094,0.0001049313587251415,0.3723192691556213,0.0001596858477758219,0.5,0.0,0.526701642779366,0.013309109932242229,0.5266155854307214,0.013315044239946058,0.5270088611038606,0.013277370984943797,0.9288338406168766,0.010997057392859463,0.9677596498126277,0.00461368249932457,0.9017120247326502,0.014185820743897244,0.7954729678512866,0.006779108138696707,0.780905209047923,0.005697396746664198,0.8504121977222538,0.005545544138878025,0.6289598673736189,0.05130794797944051,0.6753423373694319,8.969822725147168,1,0.015708948585660916
kaggle,Heart Failure Prediction Dataset,"(918,)","(11,)",918,12,2,"{0: 410, 1: 508}","{'numeric': 5, 'binary': 4, 'categorical': 3}",0.7969553271521045,0.012219316240359102,0.8041473988108976,0.01666028536093906,0.7992499680384106,0.013001075146043884,0.8430363616475594,0.01878474145563287,0.8434809682775443,0.018540167573655536,0.8449652210558215,0.018460584967715712,0.8515873741181625,0.012080780417757985,0.8528117740242858,0.014097555181433881,0.8530668920550593,0.012236167275062423,0.7115971314755408,0.014547166583184506,0.7149908180502988,0.015622590717954648,0.7162426429156545,0.015304553104630376,0.8780007443623978,0.019300411400015916,0.8824223819803926,0.017369469793913673,0.87673669806005,0.020586937437739566,0.8576671491959246,0.022205597725161515,0.8594201329851879,0.02148905176861608,0.8578021790701309,0.022552364411548318,0.6608495089724967,0.06978592944786208,0.4999123596918835,11.0,2,0.001881560705090117
kaggle,Mushroom Classification,"(8124,)","(22,)",8124,23,2,"{'e': 4208, 'p': 3916}","{'binary': 6, 'categorical': 17}",0.9781806115146681,0.010521254570358508,0.9784873243802024,0.010671531048247628,0.9780450929862381,0.010342023995163147,0.9568449063853721,0.0039986649506386675,0.9570887548590961,0.0038966223965230646,0.9566928141610591,0.004074752806947666,0.7934105859142099,0.006675727230237568,0.8191776158910228,0.0067796659679738025,0.8004423414443258,0.006485081345913921,0.9924823230651295,0.0017157598743204401,0.9924613613852589,0.001726307368737247,0.992512795902529,0.0017114134431607364,1.0,0.0,1.0,0.0,1.0,0.0,0.9905016212088708,0.0021607040189097182,0.9910232999000538,0.001999421178864768,0.9901681458023823,0.002235537459779725,0.48016777540753497,0.04602520975351353,0.9198529099457704,5.269626048584411,13,0.014721811915312653
kaggle,Mobile Price Classification,"(1000,)","(20,)",1000,21,2,"{0: 493, 1: 507}","{'numeric': 15, 'binary': 6}",0.5155748272028294,0.027654127505401704,0.5208304442159042,0.028580900401382194,0.5198127195672748,0.02793044312644969,0.5089328280555205,0.018235605105457423,0.5101119008572871,0.019022283801566134,0.5099030131104347,0.018719513456679025,0.5120148672316108,0.028326539293531076,0.5145791710893138,0.029186250949859938,0.5140568858806649,0.028754260344748005,0.5202277351900142,0.025925324155630716,0.5229446195355382,0.025382459860810114,0.5226474208045054,0.025345163237585587,0.49304704225797397,0.028285632983594704,0.4936387460201998,0.028586980320772525,0.4936189237171016,0.028442672537485662,0.4788424516440635,0.026620402734482653,0.4811396739376731,0.02743216639700173,0.48127938244004476,0.027274189570182513,0.3489637591512498,0.017345976043832274,0.6593680246182205,20.0,4,0.0006
kaggle,Mobile Price Classification,"(2000,)","(20,)",2000,21,4,"{0: 500, 1: 500, 2: 500, 3: 500}","{'numeric': 15, 'binary': 6}",0.7314236798865645,0.013396868356058595,0.7341494596219104,0.015736015885628663,0.7355,0.010885770528538626,0.5120039884744755,0.006216953967370012,0.6327065239355567,0.0222567243631165,0.5925,0.004183300132670369,0.8025815651611582,0.029237761233202236,0.8043669421286526,0.02880506438276245,0.8019999999999999,0.029639500670557886,0.9436773445913722,0.008461121491031462,0.9448663353999768,0.00846117932968897,0.9435,0.0084557672626439,0.9193337690584034,0.019009046679198928,0.9203502417957988,0.018728642732411708,0.9195,0.018934096228761455,0.8054034348703389,0.015049720116496922,0.8095032054129361,0.014964923244119986,0.812,0.013729530217746016,0.3703040397837315,0.013843861878927131,0.645608752952643,20.0,4,0.0003
kaggle,Water Quality,"(3276,)","(9,)",3276,10,2,"{0: 1998, 1: 1278}","{'numeric': 9, 'binary': 1}",0.4862235953750451,0.03657768402059481,0.5035499482985576,0.02179088209088949,0.5046216275984078,0.021666862845926838,0.4981741551371802,0.016129330982238253,0.5030185139093496,0.01558208342980537,0.5031720132131801,0.016363415300003775,0.44723050694221583,0.014091956315954573,0.6080092735569618,0.03023571319914553,0.5220051415302963,0.0070972935882572885,0.5051778370175126,0.014099044491766542,0.5181442468828192,0.022143982271774595,0.5133350909442725,0.017013455629635556,0.5907527592853328,0.016731549721852725,0.6798044228108348,0.02435117026310344,0.6033688656383607,0.01327952311615149,0.5786348275604777,0.02953178523624,0.5787692659347775,0.029255519246739827,0.5805729765590447,0.029376190299980304,0.6077420112624797,0.01329745897540562,0.14360576705248893,9.0,1,0.005324921991588658
kaggle,Airline Passenger Satisfaction,"(25976,)","(24,)",25976,25,3,"{'Business': 12025, 'Eco': 11129, 'Eco Plus': 1844}","{'numeric': 20, 'binary': 4, 'categorical': 1}",0.9659285975128409,0.002566313107908279,0.9680416396097451,0.0062168137614824325,0.9643800993436871,0.005268575840928902,0.5034694202359555,0.0034850746387253516,0.7066820772810308,0.0013236550675884092,0.6881719548677362,0.0017209526274684574,0.9740429438705434,0.0024083028220952232,0.9725098529319413,0.0034831379028199203,0.9756828274565527,0.0018090956246174827,0.7476972988482837,0.005089184353410308,0.7421099408154724,0.005838727772864569,0.7594180324400919,0.004011905863821455,0.9986810497322942,0.000275012148672268,0.9989582306725534,0.0002558192773604991,0.9984065519526151,0.0003089673853172646,0.9233235254450392,0.0039109397385997825,0.9097261676324262,0.004857136729212382,0.9492362500582232,0.0022584179261978775,0.4820758437490587,0.0543019195615103,0.9412277715647356,20.615238748160998,19,0.0016584660106141824
kaggle,Airline Passenger Satisfaction,"(103904,)","(24,)",103904,25,3,"{'Business': 11949, 'Eco': 11247, 'Eco Plus': 1803}","{'numeric': 20, 'binary': 4, 'categorical': 1}",0.9508962758096514,0.012284381481141774,0.9630542906107685,0.007995657060401798,0.9419814294082818,0.020307017436866925,0.4957572178324271,0.004445185419087819,0.7025477035040315,0.001782210189443202,0.6860788827956459,0.002158424647311498,0.98808619851523,0.002005759762307322,0.9851425248423311,0.002355801786003879,0.9911672781939131,0.0016374013184802378,0.49489702730740903,0.007895699680950176,0.4984797708634655,0.008254556497125871,0.49627144062775397,0.007069374699891171,0.9968771838734559,0.0005805097643991595,0.997623625497319,0.000340483467210281,0.9961421296754713,0.0008532267480528187,0.927266893097874,0.021785281862981235,0.9154579506215523,0.0209705184510332,0.9505668078453915,0.015164128181237663,0.480899651408254,0.054232173414701886,0.9512435660406681,20.492780130558064,18,0.0019367441364321239
kaggle,Credit Card Approval Prediction,"(438557,)","(17,)",438557,18,2,"{'N': 14511, 'Y': 10488}","{'numeric': 7, 'binary': 6, 'categorical': 5}",0.5297178889125703,0.017181082120279443,0.5323368203208874,0.01703716328337238,0.5324684110390888,0.017235565587125593,0.5807646307792094,0.00730785187240469,0.651934666104796,0.00406736391501969,0.6232251971933946,0.004852758534452768,0.5462233966178298,0.013894678957096295,0.6278857566878246,0.015081184375929342,0.5965677651452078,0.0077590591968111355,0.5899803527571169,0.010496130059497136,0.603632272948455,0.00852734667930545,0.6026489271497766,0.009157685124314313,0.9799744858191997,0.0007491073400642312,0.9814921313818499,0.0008096021681948352,0.9786778196812964,0.0007987033187524284,0.7403145296060842,0.039156347459736264,0.7743976444024963,0.024090638830890885,0.7621674717537884,0.033278336974891895,0.34733058573759346,0.025522307712589166,0.9995688577301034,6.231621798254403,28,0.01815547317513784
kaggle,Credit Card Approval Prediction,"(1048575,)","(2,)",1048575,3,5,"{'0': 9146, '1': 264, '5': 40, 'C': 10553, 'X': 4995}","{'numeric': 2, 'categorical': 1}",0.6574528043572877,0.10334837613694393,0.6735500628383689,0.10269514047462198,0.699093355450797,0.08567609117348128,0.3453107085400574,0.0014937311726637736,0.267300370882117,0.001197936220211644,0.4974051506737601,0.0015919161999210542,0.7549835252759787,0.003191108885238507,0.7735368814007305,0.002924131024989911,0.7634310553901597,0.0027018026199185944,0.3717589559228337,0.003623062243972701,0.5514176978386761,0.004965805500836516,0.5128879495048148,0.002610415450813885,0.9981647709307069,0.001098109173491359,0.998259498394338,0.0009246187950736227,0.998077810963397,0.0012769651446577369,0.9070266660400458,0.0024957832019083764,0.9236145684105317,0.002887052980072756,0.9106826901852113,0.002469940705696746,1.000000000000008,0.003528274496929197,0.014113097987716788,2.0,1,0.0002400192015361229
