num_samples_original,num_features_original,num_samples_after_preprocessing,num_features_after_preprocessing,num_classes,binary_features,categorical_features,numeric_features,class_imbalance,variance_explained,avg_feature_correlation,max_correlation,intrinsic_dimensionality,pca_variance,outlier_fraction,linear_performance,nonlinear_performance,tree_performance
303,13,303,13,2,3,4,6,0.0891089108910891,0.5951065668724367,0.062774622549382,0.5761729941069509,13.0,3.0,0.0068545316070068,0.8056938916429378,0.7677349657720383,0.8270105419805246
958,9,958,9,2,0,9,0,0.3068893528183716,0.6551751376765085,0.0359030796103822,0.1755978929917327,9.0,9.0,0.0,0.5435906547017625,0.6996472923217695,0.8834750977952982
294,13,294,13,2,3,4,6,0.27891156462585037,0.6107612483836938,0.0419347631035936,0.5339105033147123,11.83512058247051,3.0,0.0125588697017268,0.7709180870707116,0.7329051910099119,0.8095009662419786
270,13,270,13,2,3,0,10,0.1111111111111111,0.6226789029439055,0.0736948931473156,0.6097701634597502,13.0,3.0,0.0025641025641025,0.8206610326928715,0.7665099179539828,0.822182083484131
846,18,846,18,4,0,0,18,0.0455635491606715,0.9006463840793029,0.2008043125796524,0.9964451755962808,10.411313660980856,1.0,0.0028894142369319,0.7430125936225974,0.5397981107280748,0.7081510535493415
155,19,155,19,2,13,0,6,0.5870967741935483,0.5398751575003167,0.0678790075870726,0.5854585999536579,15.960488129204055,2.0,0.0037351443123938,0.761582996055027,0.7277503995024369,0.7572056080587788
435,16,435,16,2,16,0,0,0.22758620689655168,0.725375641946862,0.1712097101291477,0.8285604501437384,10.167711090768584,13.0,0.0,0.9402337150467815,0.9320724374531645,0.947161930472009
3772,29,3772,29,4,20,3,6,0.9988515647430376,0.4460423252900226,0.0300595179394549,0.99717651930184,8.161957735183622,4.0,0.020313014224595,0.7859966502385481,0.8305761871078352,0.9485502523678807
351,34,351,34,2,1,0,33,0.2820512820512821,0.6153866360294451,0.1086314932518745,0.8255787539414298,13.812333208267855,24.0,0.0036869448634154,0.8368452287161922,0.9038408064104188,0.9140094072108852
5000,40,5000,40,3,0,0,40,0.011659192825112113,0.3625203990175968,0.0433821783301615,0.7181522580709976,40.0,36.0,0.001765,0.8371156064031209,0.8253187125696324,0.8498703058368579
150,4,150,4,3,0,0,4,0.0,1.0000000000000004,0.1422818586086187,0.6848598447207179,4.0,2.0,0.0016666666666666,0.8647865997797574,0.9538386369965317,0.9478712581297047
101,16,101,16,7,15,0,1,0.8222222222222222,0.7959760949993935,0.1225967587941563,0.9387449976838876,5.179229898220483,8.0,0.0049504950495049,0.975291845133115,0.964519580796264,0.932012512766481
1000000,38,1000000,38,6,19,19,0,0.9984291747247109,0.3465073089378659,0.0348223135118901,0.9999999999999986,10.712276329226931,40.0,0.0104151628630218,0.8278581109469231,0.7495792766782715,0.9131530208330659
1000000,38,1000000,38,6,4,34,0,0.9984291747247109,0.4994971547906745,0.015026501063198,0.6122295490583253,6.977002908975632,18.0,0.0077514564905683,0.6913773375985448,0.7442807094270553,0.8603518831594723
1000000,36,1000000,36,2,34,2,0,0.043749999999999956,0.3616204639589032,0.0334387278522004,0.7117515402782203,11.171081272359755,31.0,0.0151283829130943,0.9108438518175735,0.760015745090341,0.9496875659841305
1000000,16,1000000,16,2,3,13,0,0.29103999999999997,0.4870279514602827,0.0229079296812702,0.5238581118504297,10.935013260475287,15.0,0.0081753270130805,0.8532094414571443,0.863313248473038,0.9421280753979723
1000000,16,1000000,16,26,0,16,0,0.05620157545498058,0.5338221292094044,0.0492268368467512,0.5518419588684851,8.663708948355598,14.0,0.003381487854656,0.3287209464654361,0.4806625033547037,0.5465641478947209
1000000,25,1000000,25,7,4,21,0,0.9850790258998637,0.2441252252021459,0.0218222180609398,0.8335075959203317,19.360721582103995,39.0,0.0197953614066903,0.5928168630377411,0.6021078272313597,0.7888829874804547
1000000,18,1000000,18,4,9,9,0,0.940889003954898,0.4915161542077221,0.0477761228567938,0.5769389815947419,12.372874312424132,16.0,0.0116653776746584,0.7699118129825356,0.8114733102040504,0.9132222310397689
1000000,9,1000000,9,2,3,6,0,0.40564599999999995,0.3619490387053982,0.0336023085424362,0.942089229439269,5.819312014726097,26.0,0.0174780324546315,0.6692744656299675,0.7088312315734586,0.7505690452949954
1000000,76,1000000,76,10,0,76,0,0.0041024514892597985,0.1850145543718672,0.0256932331950408,0.3806303214928393,59.4322516962696,68.0,0.0032928955580918,0.7997435347958316,0.7420041165427548,0.8584885387720972
1000000,64,1000000,64,10,0,64,0,0.004351827767662381,0.1772938843754301,0.0187221060321319,0.2992907586302417,56.663685209097146,58.0,0.0,0.9296474977490731,0.8529833518403139,0.923860940087966
1000000,12,1000000,12,6,2,10,0,0.6326908184291892,0.0829089478770896,0.0282385435165993,1.0000000000000009,21.000731331003745,157.0,0.0119284836904599,0.5973426647155891,0.3794513632405716,0.7151566009426672
1000000,12,1000000,12,6,2,10,0,0.6326908184291892,0.0789025941688521,0.0254376170263062,1.0000000000000009,20.911492824907725,158.0,0.0116185765449471,0.6026801522487633,0.3827047860946629,0.7336972486875792
1000000,47,1000000,47,10,0,47,0,0.0047545167909513585,0.4405666753106494,0.0625558626029985,0.8990087171650395,24.94813333088341,31.0,0.0033606721344268,0.7400924101972978,0.7358759072262995,0.8111038427742567
55296,9,55296,9,3,3,6,0,0.3065451532725766,0.7467053226495284,0.0518101474893804,0.6367711070498344,4.428961172555976,8.0,0.011391566773782,0.4682245858208279,0.5231808911453872,0.555875949800819
1000000,22,1000000,22,2,4,18,0,0.03659600000000002,0.3885404770486556,0.0451740556493324,0.8295538642679606,7.960562689764787,33.0,0.0105484219368774,0.9183910964048683,0.9120812659216785,0.9739163723258785
1000000,27,1000000,27,2,4,23,0,0.325554,0.1600518736810087,0.1422575672635568,1.000000000000001,6.783894602327472,392.0,0.0051486021705019,0.7816521125820683,0.6353494300852062,0.8321265404544483
1000000,22,1000000,22,2,2,20,0,0.259306,0.3330472190228287,0.0186977047394684,0.408723531848522,20.418933279766616,20.0,0.0114459123819498,0.7810849177006852,0.7961761088149834,0.8689276421871089
1000000,64,1000000,64,10,0,64,0,0.015166340508806298,0.3138013609862323,0.0413109071140437,0.8165210793774369,24.42631443759008,51.0,0.0110043312127395,0.9034197427917957,0.8482471672694292,0.9338668633652393
1000000,15,1000000,15,2,4,11,0,0.109796,0.3429559594613613,0.0211265420235762,0.9818751422502372,6.086588032874366,23.0,0.0340117308396039,0.8384393315855058,0.8295359372564043,0.8848678702832998
295245,10,295245,10,5,0,10,0,0.9883194823986295,1.0000000000000222,0.0493776060526964,0.8627300550392507,5.607255134194562,9.0,0.0129735568268192,0.6813943442209953,0.6142979241846693,0.7533548888500126
1000000,20,1000000,20,2,2,18,0,0.39917400000000003,0.2617205132705379,0.012205652320507,0.7626834118569626,18.104489338390067,26.0,0.012634988158147,0.6509012056372504,0.6602664264005911,0.729810662138231
1000000,16,1000000,16,10,0,16,0,0.04639446048240633,0.6836595910551615,0.0876495756705898,0.8090074209541089,7.601280203621683,12.0,0.0029033129276197,0.7828756453721891,0.8665789607341953,0.9093022898148787
